Lab_No,Client,Project,Sample_Number,Matrix,Client_Sample_ID,Source,Site.ID,State,Date_Sampled,X,X.1,Pit,Horizon,Depth,Collection_Method,Lat_Degree,Lat_Min,Lat_Sec,Long_Degree,Long_Min,Long_Sec,Sample_Type,Temp,Stage,Record_Number,Flow,Lysimeter_Vol,Acid.Neutralizing.Capacity,Ammonium,Calcium,Chloride,Dissolved.Organic.Carbon,Filtered.Aluminum,Filtered.Calcium,Filtered.Iron,Filtered.Magnesium,Filtered.Potassium,Filtered.Silicon,Filtered.Sodium,Magnesium,Nitrate,Organic.Monomeric.Aluminum,Organic.Monomeric.Iron,Oxygen.18,pH,Potassium,Silicon,Sodium,Specific.Conductance,Sulfate,Total.Aluminum,Total.Monomeric.Aluminum,Total.Monomeric.Iron,UV254,Q,Sug,DOCmg,mDOCmg,mDOC,SUVA,spT16,spT6,spT8
104547,USGS Watersheds Group,HON,104547-04,Water,57871,T16,NA,NA,18-Apr-12,12:00:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Triplicate,6.8,0.83,NA,NA,NA,-32.23188782,0.209999993,NA,5.12869978,267.2479553,20.42264175,20.59612274,0.433618784,6.139635563,2.077763319,69.57433319,21.43477631,NA,56.82310104,2.664999962,NA,NA,4.489607334,NA,NA,NA,23.89999962,35.13240051,NA,11.14900017,NA,NA,428383.9082,1.095661953,3.209915746,1375076.253,114484723.6,NA,1,NA,NA
104547,USGS Watersheds Group,HON,104547-05,Water,57892,T16,NA,NA,18-Apr-12,12:00:00,PM,NA,NA,46-56,Manual,NA,NA,NA,NA,NA,NA,Triplicate,6.8,0.83,NA,NA,NA,-25.7640667,0.419,NA,5.9884,266.748388,19.51144981,21.40608978,0.335231572,6.507013321,2.753108263,67.82138062,21.71227264,NA,55.7843,2.746999979,NA,NA,4.561912537,NA,NA,NA,23.70000076,34.2482,NA,12.39599991,NA,NA,428383.9082,1.068086699,3.203915443,1372505.819,114270717,NA,1,NA,NA
104547,USGS Watersheds Group,HON,104547-06,Water,57913,T16,NA,NA,18-Apr-12,12:02:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Triplicate,6.8,0.83,NA,NA,NA,-26.96617699,0.178000003,NA,5.122700214,259.4215088,18.20350456,19.7076149,0.290505379,5.982460022,2.917662621,65.58489227,20.59462738,NA,55.30659866,2.720000029,NA,NA,4.546477318,NA,NA,NA,24.20000076,34.26940155,NA,12.04199982,NA,NA,428383.9082,1.068747904,3.115912281,1334806.681,111131999.8,NA,1,NA,NA
104554,USGS Watersheds Group,HON,104554-04,Water,57960,T16,NA,NA,15-May-12,2:45:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,10.3,1.03,NA,NA,NA,-29.49099159,3.607000113,NA,4.329699993,442.0689697,22.19599915,16.58107948,0.730877638,5.007090092,3.923284292,65.42865753,18.3266201,NA,43.42229843,4.5,NA,NA,4.464406967,NA,NA,NA,22.39999962,28.72319984,NA,11.9630003,NA,NA,1252045.453,0.895780441,5.309691314,6647974.865,553490443.4,NA,1,NA,NA
104564,USGS Watersheds Group,HON,104564-06,Water,58052,T16,NA,NA,7-Jun-12,8:30:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,9.5,0.8,NA,NA,NA,-26.90995979,3.707999945,NA,5.124100208,390.9972839,18.39841652,16.3553009,0.867863357,5.107936859,1.479622841,71.63247681,20.65331459,NA,29.05349922,4.092000008,NA,NA,4.536147118,NA,NA,NA,21.5,33.58589935,NA,10.37699986,NA,0.158000007,156236.1489,1.047431759,4.696269189,733727.0125,61087909.88,0.033643729,1,NA,NA
104617,USGS Watersheds Group,HON,104617-17,Water,58225,T16,NA,NA,14-Jun-12,12:05:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,12.3,0.7,NA,NA,NA,-1.995871782,39.85800171,NA,5.529600143,639.7947998,20.4053936,16.63620567,1.952759981,5.063910007,4.930646896,68.3041687,18.00958633,NA,32.8348999,5.697999954,NA,NA,4.726953983,NA,NA,NA,20.70000076,25.58779907,NA,8.644000053,NA,0.345999986,67579.71231,0.797997788,7.68457667,519321.4805,43237148.51,0.04502525,1,NA,NA
104592,USGS Watersheds Group,HON,104592-02,Water,58143,T16,NA,NA,9-Jul-12,11:10:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,15.3,NA,NA,NA,NA,-14.5778532,0.88499999,NA,7.417399883,375.419342,15.6569252,16.15739059,1.083356261,4.648895264,2.514905453,107.7861862,28.92140198,NA,10.12010002,3.697000027,NA,NA,4.406995773,NA,NA,NA,21,39.44340134,NA,8.815999985,NA,0.156000003,24065.65916,1.230107636,4.509162497,108515.9678,9034713.928,0.034596226,1,NA,NA
104615,USGS Watersheds Group,HON,104615-10,Water,58182,T16,NA,NA,24-Jul-12,11:15:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,16.3,0.6,NA,NA,NA,-30.7141037,0.907000005,NA,8.311200142,398.8320618,18.72159767,17.95964432,1.113829017,4.438110828,2.694831848,112.1822205,29.80868721,NA,7.678599834,4.197999954,NA,NA,4.56626749,NA,NA,NA,20.10000038,37.59469986,NA,8.628000259,NA,0.177000001,58013.20175,1.172452826,4.790372723,277904.8592,23137524.86,0.036949108,1,NA,NA
104622,USGS Watersheds Group,HON,104622-01,Water,58287,T16,NA,NA,26-Jul-12,10:12:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,15.5,0.59,NA,NA,NA,-48.78126907,4.480000019,NA,7.463799953,545.7443237,17.41560364,17.97700882,0.85055244,4.380529404,4.426258564,103.421814,26.98911667,NA,10.06449986,4.078000069,NA,NA,4.583685398,NA,NA,NA,20,33.53990173,NA,8.251000404,NA,0.226999998,72830.6175,1.045997247,6.554936206,477400.0515,39746896.09,0.03463039,1,NA,NA
104621,USGS Watersheds Group,HON,104621-10,Water,58267,T16,NA,NA,30-Jul-12,9:35:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,13.5,NA,NA,NA,NA,-11.09355927,0.045000002,NA,7.523700237,417.2658081,15.88259506,16.30329132,1.612035394,4.208487988,2.170366526,112.3993988,27.67408562,NA,6.078499794,2.683000088,NA,NA,4.566431999,NA,NA,NA,20.29999924,37.59180069,NA,8.755999565,NA,0.201000005,50154.83849,1.17236241,5.011780488,251365.0409,20927899.21,0.040105509,1,NA,NA
104622,USGS Watersheds Group,HON,104622-02,Water,58288,T16,NA,NA,5-Aug-12,10:39:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,17.3,0.71,NA,NA,NA,-20.10506439,3.117000103,NA,7.143199921,703.2805786,21.71588135,20.92251968,1.645078182,5.084070683,7.088852406,82.1798172,21.59188652,NA,19.02669907,5.821000099,NA,NA,4.538613796,NA,NA,NA,21,27.87249947,NA,10.48200035,NA,0.326000005,162229.3439,0.869249944,8.447104491,1370368.22,114092746.9,0.038593107,1,NA,NA
104610,USGS Watersheds Group,HON,104610-10,Water,58278,T16,NA,NA,13-Aug-12,3:30:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,13.5,0.65,NA,NA,NA,-25.40944672,0.402999997,NA,6.895400047,439.8625793,18.27585793,17.26895714,1.304261208,4.436635017,1.858744979,108.0003281,26.17840958,NA,3.881999969,3.019000053,NA,NA,4.568695068,NA,NA,NA,20,36.5019989,NA,8.31099987,NA,0.216000006,107785.3964,1.138375141,5.283190354,569450.7668,47410762.49,0.040884388,1,NA,NA
104646,USGS Watersheds Group,HON,104646-16,Water,58442,T16,NA,NA,28-Aug-12,4:30:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,15.5,0.81,NA,NA,NA,-15.89088154,4.912000179,NA,7.021900177,592.5114746,18.98496056,19.71421623,2.075201988,4.832308769,6.396330357,83.38887787,21.79974937,NA,13.98349953,5.289000034,NA,NA,4.632526398,NA,NA,NA,18.75,27.48180008,NA,9.894000053,NA,0.27700001,252718.3605,0.857065339,7.116656553,1798509.776,149738528.4,0.038922773,1,NA,NA
104645,USGS Watersheds Group,HON,104645-02,Water,58416,T16,NA,NA,25-Sep-12,8:30:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,8,0.75,NA,NA,NA,-10.87034416,0.699000001,NA,7.278900146,424.9340515,18.44117355,19.18794441,1.1003263,5.789756298,2.926445007,81.88949585,21.16125298,NA,6.123000145,4.311999798,NA,NA,4.583397865,NA,NA,NA,20.70000076,42.31299973,NA,10.33899975,NA,0.196999997,71422.27307,1.319600802,5.103883776,364530.9807,30349755.86,0.038598057,1,NA,NA
104650,USGS Watersheds Group,HON,104650-04,Water,58531,T16,NA,NA,1-Oct-12,6:45:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,10.6,0.94,NA,NA,NA,-20.139925,0.442000002,NA,15.10410023,725.1529541,25.49034882,18.55225372,1.48666811,5.445868969,6.060583591,59.3696785,14.82883644,NA,14.09860039,7.369999886,NA,NA,4.416188717,NA,NA,NA,24.79999924,31.78089905,NA,15.11600018,NA,0.31099999,1966327.391,0.991139843,8.709813638,17126345.12,1425888116,0.035706848,1,NA,NA
104649,USGS Watersheds Group,HON,104649-07,Water,58525,T16,NA,NA,17-Oct-12,1:20:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,8.2,0.85,NA,NA,NA,-29.24777603,0.127000004,NA,8.152199745,461.0272827,19.01342964,15.28066349,0.688066721,4.335287094,3.557554722,71.62296295,17.68165016,NA,14.61460018,4.882999897,NA,NA,4.477046967,NA,NA,NA,22,33.62149811,NA,10.88099957,NA,0.214000002,889467.2235,1.048541965,5.53739965,4925335.492,410068657.1,0.038646299,1,NA,NA
104679,USGS Watersheds Group,HON,104679-07,Water,58580,T16,NA,NA,13-Nov-12,2:20:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,0.86,NA,NA,NA,-12.32244301,0.033,NA,8.133399963,425.5085449,19.65270615,16.91939735,0.851554096,5.019815922,3.268496752,80.95405579,20.28318024,NA,23.00379944,4.321000099,NA,NA,4.51611805,NA,NA,NA,22.89999962,35.02119827,NA,10.29500008,NA,0.192000002,1156832.474,1.092193927,5.110784017,5912320.917,492242102.6,0.037567622,1,NA,NA
104723,USGS Watersheds Group,HON,104723-09,Water,58670,T16,NA,NA,28-Jan-13,1:55:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,-0.3,NA,NA,NA,NA,-55.04000092,0.143000007,NA,6.435400009,238.589859,19.07622147,20.56377602,0.642607749,6.75104332,3.395830154,88.08436584,24.90390396,NA,46.04959869,3.007999897,NA,NA,4.519999981,NA,NA,NA,22.89999962,38.42699814,NA,11.67800045,NA,0.120999999,312605.2935,1.198409423,2.865703292,895834.0188,74584452.9,0.042223492,1,NA,NA
104767,USGS Watersheds Group,HON,104767-01,Water,58779,T16,NA,NA,26-Mar-13,1:15:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,1.3,0.78,NA,NA,NA,-29.77000046,0.574999988,NA,11.39750004,258.7803955,21.97759628,22.55176544,0.627011478,5.973131657,3.418681145,82.59485626,22.93100548,NA,47.66120148,3.055000067,NA,NA,4.510000229,NA,NA,NA,25.60000038,36.11130142,NA,11.25899982,NA,0.116999999,397057.5172,1.126190595,3.108211868,1234138.887,102750701.3,0.037642221,1,NA,NA
104791,USGS Watersheds Group,HON,104791-08,Water,58803,T16,NA,NA,17-Apr-13,9:15:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,1.6,1.28,NA,NA,NA,-51.49000168,0.809000015,NA,4.676499844,456.0316772,21.11815834,13.65524387,0.958884537,4.451494694,4.159125805,54.41439438,16.28167915,NA,40.7765007,5.678999901,NA,NA,4.440000057,NA,NA,NA,25.79999924,25.96299934,NA,13.27000046,NA,0.221000001,8425791.696,0.809699028,5.477397422,46151409.72,3842427919,0.040347629,1,NA,NA
104812,USGS Watersheds Group,HON,104812-14,Water,58897,T16,NA,NA,19-Apr-13,6:18:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,2.2,1.55,NA,NA,NA,-54.22999954,1.978000045,NA,5.201200008,480.6016846,20.41482735,13.45172787,0.971894979,4.132658482,4.00235033,51.73336029,16.443573,NA,37.56019974,5.131999969,NA,NA,4.460000038,NA,NA,NA,25.60000038,25.21680069,NA,11.40799999,NA,0.221000001,27701208.17,0.786427591,5.772507832,159905441.1,13313247313,0.03828492,1,NA,NA
104812,USGS Watersheds Group,HON,104812-15,Water,58898,T16,NA,NA,19-Apr-13,9:47:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,1.1,2.05,NA,NA,NA,-41.84999847,3.09100008,NA,4.37349987,518.6598511,18.54876709,11.62506008,1.153185964,4.080220222,7.20656395,40.99036407,13.45656204,NA,33.36449814,5.396999836,NA,NA,4.440000057,NA,NA,NA,25.5,22.38839912,NA,9.920999527,NA,0.26699999,27701208.17,0.698219215,6.229624549,172568126.5,14367504506,0.042859724,1,NA,NA
104812,USGS Watersheds Group,HON,104812-16,Water,58899,T16,NA,NA,25-Apr-13,4:38:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,2.7,1.36,NA,NA,NA,-30.31999969,2.282000065,NA,4.861800194,488.7028809,22.71094894,13.48067188,1.250363827,4.179549217,5.047150135,48.6501503,15.20847988,NA,30.50160027,5.715000153,NA,NA,4.46999979,NA,NA,NA,25.20000076,24.80050087,NA,11.59200001,NA,0.245000005,3907032.816,0.773444593,5.869811318,22933545.44,1909378193,0.041738992,1,NA,NA
104812,USGS Watersheds Group,HON,104812-01,Water,58882,T16,NA,NA,16-May-13,8:30:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,6.8,0.8,NA,NA,NA,-30.73999977,0.610000014,NA,6.317900181,363.5048218,17.93531036,14.79679489,0.711288869,4.416912556,3.466081381,67.04634857,20.96593475,NA,19.11289978,3.828000069,0.965761364,NA,4.53000021,NA,NA,NA,22.5,34.35900116,NA,9.534000397,0.658067644,0.177000001,437943.6418,1.071542216,4.36605717,1912086.977,159194625.5,0.04054001,1,NA,NA
104837,USGS Watersheds Group,HON,104837-15,Water,58960,T16,NA,NA,11-Jun-13,11:55:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,10.3,1.54,NA,NA,NA,-54.42905045,2.878999949,NA,5.161200047,742.6791992,23.78760147,12.66801071,1.443899512,3.471999884,1.72219944,50.64199448,15.09043121,NA,8.632200241,7.778999805,NA,NA,4.520027161,NA,NA,NA,20.89999962,22.51580048,NA,12.39900017,NA,0.368000001,4395772.176,0.702192437,8.920321405,39211700.63,3264648560,0.041254119,1,NA,NA
104839,USGS Watersheds Group,HON,104839-01,Water,58939,T16,NA,NA,11-Jun-13,1:15:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,10.3,1.26,NA,NA,NA,-52.05854416,0.600000024,NA,4.572400093,732.9710693,27.29825211,15.01154995,1.573532104,3.572468281,1.732429862,54.97838211,15.8595562,NA,7.983099937,7.925000191,NA,NA,4.409999847,NA,NA,NA,21.39999962,23.19720078,NA,12.64400005,NA,0.372000009,4395772.176,0.723443031,8.803717036,38699134.39,3221973832,0.04225488,1,NA,NA
104837,USGS Watersheds Group,HON,104837-09,Water,58871,T16,NA,NA,18-Jun-13,7:00:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Triplicate,11.2,0.82,NA,NA,NA,-21.74501038,0.400999993,NA,4.945199966,447.1062012,18.5843811,13.97282982,1.086666346,4.044129372,1.891949773,63.86719131,19.30970764,NA,7.537199974,5.070000172,NA,NA,4.571549416,NA,NA,NA,21.29999924,31.78339958,NA,10.38000011,NA,0.225999996,526245.0564,0.991217826,5.370193512,2826037.788,235287428.1,0.042084144,1,NA,NA
104837,USGS Watersheds Group,HON,104837-10,Water,58892,T16,NA,NA,18-Jun-13,7:01:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Triplicate,11.2,0.82,NA,NA,NA,-38.34650803,0.340999991,NA,4.835700035,448.5133057,18.72590256,13.47423553,1.169904828,3.794476271,1.160711169,62.81339645,19.50587845,NA,9.714799881,4.879000187,NA,NA,4.563001156,NA,NA,NA,21.70000076,32.07500076,NA,9.631999969,NA,0.224999994,526245.0564,1.00031189,5.387094247,2834931.716,236027909.9,0.041766486,1,NA,NA
104837,USGS Watersheds Group,HON,104837-11,Water,58913,T16,NA,NA,18-Jun-13,7:02:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Triplicate,11.2,0.82,NA,NA,NA,-51.09960556,0.409000009,NA,4.803999901,455.4405212,18.49646759,16.35889435,0.999868572,4.528995514,1.662205338,71.2855072,24.22655106,NA,7.583000183,4.954999924,NA,NA,4.540812492,NA,NA,NA,21.79999924,31.6637001,NA,9.579999924,NA,0.224999994,526245.0564,0.9874848,5.470297046,2878716.778,239673322.8,0.04113122,1,NA,NA
104866,USGS Watersheds Group,HON,104866-06,Water,59103,T16,NA,NA,28-Jun-13,3:34:00,AM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,14.2,0.82,NA,NA,NA,-30.98494911,2.644000053,NA,4.938899994,520.2334595,15.00209522,13.69516468,0.509090364,3.739362955,4.154879093,64.89125061,17.92523575,NA,7.004199982,4.349999905,NA,NA,4.590000153,NA,NA,NA,20.70000076,28.4720993,NA,8.170999527,NA,0.224000007,3843987.115,0.887949456,6.248525163,24019250.21,1999770715,0.03584846,1,NA,NA
104866,USGS Watersheds Group,HON,104866-07,Water,59104,T16,NA,NA,28-Jun-13,2:09:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,13.5,1.31,NA,NA,NA,-23.38596725,3.509000063,NA,4.082900047,876.0200806,23.79912186,13.56368828,1.326792359,3.315509319,1.759624481,44.88487244,13.13093662,NA,7.301599979,8.407999992,NA,NA,4.5,NA,NA,NA,22,20.43120003,NA,13.05599976,NA,0.407999992,3843987.115,0.637180728,10.52187901,40445967.33,3367409902,0.038776343,1,NA,NA
104866,USGS Watersheds Group,HON,104866-08,Water,59105,T16,NA,NA,8-Jul-13,4:25:00,PM,NA,NA,,Automatic,NA,NA,NA,NA,NA,NA,Regular,15.1,1,NA,NA,NA,-49.65135956,1.751000047,NA,4.75880003,670.4594727,19.62434959,12.53238583,0.910238326,3.079820871,1.06811583,54.57172012,15.62398624,NA,3.224900007,6.520999908,NA,NA,4.53000021,NA,NA,NA,21.29999924,25.78429985,NA,11.23400021,NA,0.294,2119042.385,0.804125989,8.05289012,17064415.48,1420732040,0.036508632,1,NA,NA
104865,USGS Watersheds Group,HON,104865-01,Water,59076,T16,NA,NA,17-Jul-13,9:15:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,16.7,0.71,NA,NA,NA,-25.55975342,0.442999989,NA,5.694900036,468.8287354,17.92387772,16.24957657,0.960287094,3.716325045,1.167625427,75.32863617,21.0736599,NA,7.979000092,4.754000187,NA,NA,4.519999981,NA,NA,NA,23.5,34.18809891,NA,9.210000038,NA,0.216000006,450725.2654,1.066212347,5.631102915,2538080.356,211312956.2,0.038358384,1,NA,NA
104872,USGS Watersheds Group,HON,104872-04,Water,59143,T16,NA,NA,30-Jul-13,4:15:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,14.9,0.96,NA,NA,NA,-53.35769272,-9999,NA,6.561699867,495.6384583,19.12361526,17.60554123,0.964652121,4.032274246,1.617502689,84.51489258,22.20349312,NA,8.375,4.743999958,NA,NA,4.559999943,NA,NA,NA,22.60000038,33.52550125,NA,9.480999947,NA,0.223000005,368095.4928,1.045548144,5.953114553,2191314.635,182442282.6,0.037459384,1,NA,NA
104875,USGS Watersheds Group,HON,104875-09,Water,59168,T16,NA,NA,5-Aug-13,2:30:00,PM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,12,0.68,NA,NA,NA,-38.9562912,1.018000007,NA,5.828299999,472.7419434,16.3944416,14.85669994,1.010427952,3.996118069,1.36768949,82.6407547,21.64712143,NA,8.735099792,4.894999981,NA,NA,4.570587635,NA,NA,NA,22.29999924,32.00759888,NA,9.407999992,NA,0.225999996,402624.2014,0.998209851,5.678104464,2286142.275,190337347.4,0.039802014,1,NA,NA
104889,USGS Watersheds Group,HON,104889-09,Water,59214,T16,NA,NA,20-Aug-13,9:10:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,Regular,14.2,0.62,NA,NA,NA,-47.62827682,0,NA,6.394499779,423.5935669,15.17893028,14.14669991,0.952702522,4.24983263,1.411453366,95.41543579,25.43517113,NA,6.795700073,3.868000031,NA,NA,4.606023312,NA,NA,NA,21,37.84569931,NA,8.579000473,NA,0.196999997,240098.2106,1.180280658,5.087783212,1221567.645,101704057.4,0.038720203,1,NA,NA
104916,USGS Watersheds Group,HON,104916-10,Water,59220,T16,NA,NA,25-Sep-13,9:20:00,AM,NA,NA,,Manual,NA,NA,NA,NA,NA,NA,NT,8.2,NA,NA,NA,NA,-17.13324738,0.595000029,NA,6.553599834,423.8516846,15.85039806,14.76002598,0.948598266,4.588700294,1.506209373,77.91322327,20.10422325,NA,6.542900085,4.747000217,NA,NA,4.623500347,NA,NA,NA,19.80999947,34.43719864,NA,10.02200031,NA,0.200000003,605054.9969,1.073980934,5.090883464,3080264.479,256453579.7,0.039285913,1,NA,NA
