Source,Date_Time_Sampled,Source.1,Date_Sampled,Time_Sampled,Client_Sample_ID.x,MeHg,MeHg_.ng.mL.,THg,X,Lab_No,Client,Project,Sample_Number,Matrix,Client_Sample_ID.y,State,Date_Sampled.y,Watershed,Plot_Transect,Pit,Horizon,Depth,Collection_Method,Lat_Degree,Lat_Min,Lat_Sec,Long_Degree,Long_Min,Long_Sec,Sample_Type,Temp,Stage,Record_Number,Flow,Lysimeter_Vol,Acid.Neutralizing.Capacity,Ammonium,Calcium,Chloride,Dissolved.Organic.Carbon,Filtered.Aluminum,Filtered.Aluminum..0_1.um.,Filtered.Calcium,Filtered.Iron,Filtered.Magnesium,Filtered.Potassium,Filtered.Silicon,Filtered.Sodium,Iron,Magnesium,Nitrate,Organic.Monomeric.Aluminum,Organic.Monomeric.Iron,Oxygen.18,pH,Potassium,Silicon,Sodium,Specific.Conductance,Sulfate,Total.Aluminum,Total.Monomeric.Aluminum,Total.Monomeric.Iron,UV254,Sug,DOCmg,SUVA,NO3mg,spT16,spT6,spT8,TMTT16,TMTT6,TMTT8
T16,11/18/2013 13:45,GM13043,11/18/2013,1:45:00 PM,59318,0.004,NA,5.06,NA,104944,USGS Watersheds Group,HON,104944-02,Water,59417,NA,11/18/2013,1:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,6.4,1.34,NA,NA,NA,32.94064331,1.600999951,NA,30.20079994,884.5958862,20.18656921,NA,53.49980164,1.947785854,4.67327404,7.781331062,114.3911285,123.3762894,NA,NA,59.21620178,6.412000179,NA,NA,5.93254137,NA,NA,NA,25,33.67089844,NA,7.771999836,NA,0.456999987,1.050082596,10.62488303,0.043012237,3.67169467,2,NA,NA,2,NA,NA
T16,1/15/2014 15:15,GM14001,1/15/2014,3:15:00 PM,59360,0.0181,0.001805044,1.39,NA,104971,USGS Watersheds Group,HON,104971-08,Water,59637,NA,1/15/2014,3:15:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,1,0.98,NA,NA,NA,2.354413748,2.167000055,NA,12.66779995,478.178833,14.39792347,NA,45.10886002,0.899932325,4.975677013,3.615692854,81.13865662,80.83737946,NA,NA,75.45659637,4.480000019,NA,NA,5.512755871,NA,NA,NA,21.79999924,31.56459999,NA,6.360000134,NA,0.237000003,0.984394199,5.743406957,0.041264707,4.678678712,2,NA,NA,2,NA,NA
T16,2/27/2014 12:25,GM14003,2/27/2014,12:25:00 PM,59417,0.1942,0.019416207,1.07,NA,104993,USGS Watersheds Group,HON,104993-01,Water,59690,NA,2/27/2014,12:25:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,0.1,0.75,NA,NA,NA,15.92614174,0.256999999,NA,17.33169937,324.847229,10.34017372,NA,50.05081177,0.761795521,6.536231041,4.66849947,81.33618927,70.4335556,NA,NA,67.58820343,2.589999914,NA,NA,5.575922966,NA,NA,NA,22.29999924,37.23830032,NA,4.110000134,NA,0.151999995,1.161337917,3.901740743,0.038956969,4.190799795,2,NA,NA,2,NA,NA
T16,3/27/2014 9:15,GM14014,3/27/2014,9:15:00 AM,59696,0.0564,0.005635942,0.69,NA,105009,USGS Watersheds Group,HON,105009-02,Water,59724,NA,3/27/2014,9:15:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,-0.3,0.67,NA,NA,NA,4.902212143,1.850000024,NA,16.05340004,275.5406494,8.889407158,NA,50.66492462,0.751104236,6.992693901,5.053212166,85.75328827,59.60512161,NA,NA,60.31060028,2.390000105,NA,NA,5.672323227,NA,NA,NA,21.89999962,41.49860001,NA,4.170000076,NA,0.135000005,1.294202402,3.309519312,0.040791424,3.739552739,3,NA,NA,3,NA,NA
T16,5/13/2014 11:00,GM14023,5/13/2014,11:00:00 AM,59726,0.006666667,NA,2.57,NA,105031,USGS Watersheds Group,HON,105031-01,Water,59771,NA,5/13/2014,11:00:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Triplicate,9.2,0.8,NA,NA,NA,5.88440752,0.229000002,NA,11.51599979,501.0253906,14.76794243,NA,38.66520691,0.921580076,4.667404175,3.865986586,73.21853638,70.34560394,NA,NA,43.3227005,4.429999828,NA,NA,5.686215878,NA,NA,NA,20.10000038,37.09149933,NA,6.460000038,NA,0.261000007,1.156759686,6.017817008,0.04337121,2.686219712,3,NA,NA,3,NA,NA
T16,5/13/2014 11:01,GM14024,5/13/2014,11:01:00 AM,59727,NA,NA,2.53,NA,105031,USGS Watersheds Group,HON,105031-02,Water,59792,NA,5/13/2014,11:01:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Triplicate,9.2,0.8,NA,NA,NA,1.82398212,0.382999986,NA,11.88020039,503.0152893,13.80948257,NA,40.30816269,0.743757844,4.831559658,4.483115196,74.91796112,72.41026306,NA,NA,43.71640015,4.599999905,NA,NA,5.42377615,NA,NA,NA,19.55999947,36.36589813,NA,6.239999771,NA,0.246999994,1.134130614,6.041717685,0.040882412,2.71063102,3,NA,NA,3,NA,NA
T16,5/13/2014 11:02,GM14025,5/13/2014,11:02:00 AM,,0.002222222,NA,2.56,NA,105031,USGS Watersheds Group,HON,105031-03,Water,59813,NA,5/13/2014,11:02:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Triplicate,9.2,0.8,NA,NA,NA,23.2696228,0.451999992,NA,11.20189953,501.9911804,13.8487587,NA,40.70339584,0.678994954,4.901884556,4.683161259,75.49011993,72.8398056,NA,NA,42.32089996,4.769999981,NA,NA,5.382120609,NA,NA,NA,19.62000084,35.69720078,NA,6.400000095,NA,0.25,1.113276182,6.029417111,0.041463378,2.62410317,3,NA,NA,3,NA,NA
T16,6/17/2014 9:45,GM14033,6/17/2014,9:45:00 AM,59876,0.0462,0.004617352,3.4,NA,105330,USGS Watersheds Group,HON,105330-08,Water,61277,NA,6/16/2015,7:45:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,12.8,0.86,NA,NA,NA,25.19264221,0.032699998,NA,5.91960001,711.7814331,18.96063995,NA,36.29260635,1.494868994,4.26333189,7.281440735,81.43445587,62.86916733,NA,NA,15.1196003,5.25,NA,NA,5.258734226,NA,NA,NA,16.70000076,29.58090019,NA,7.21999979,NA,0.368000001,0.922529243,8.549208272,0.043044922,0.937489305,3,NA,NA,3,NA,NA
T16,7/22/2014 11:10,GM14042,7/22/2014,11:10:00 AM,60001,NA,NA,1.58,NA,105069,USGS Watersheds Group,HON,105069-04,Water,60295,NA,7/22/2014,11:10:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,NA,NA,NA,NA,-2.059977293,0.667999983,NA,14.09689999,521.5073242,14.87107563,NA,38.63192749,1.180049896,4.687143326,1.278357029,91.55066681,63.11820221,NA,NA,11.21409988,3.49000001,NA,NA,5.515592098,NA,NA,NA,17.81999969,38.74079895,NA,5.170000076,NA,0.273000002,1.208195819,6.263825555,0.04358359,0.695329142,3,NA,NA,3,NA,NA
T16,9/23/2014 10:30,GM14055,9/23/2014,10:30:00 AM,60302,0.0222,NA,2.49,NA,105172,USGS Watersheds Group,HON,105172-02,Water,60572,NA,9/23/2014,10:30:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,9.4,0.7,NA,NA,NA,7.335703373,0.500999987,NA,12.47910023,669.3021851,18.0666008,NA,36.78437424,1.883114219,4.719100952,2.184702158,93.96750641,68.42526245,NA,NA,13.66399956,4.699999809,NA,NA,5.330403328,NA,NA,NA,17.89999962,36.34479904,NA,6.300000191,NA,0.338999987,1.133472604,8.038989936,0.042169475,0.847234926,3,NA,NA,3,NA,NA
T16,6/10/2015 10:00,GM15001,6/10/2015,10:00:00 AM,60571,0.162454874,NA,4.106,NA,105328,USGS Watersheds Group,HON,105328-05,Water,61271,NA,6/10/2015,10:00:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Triplicate,NA,NA,NA,NA,NA,0.444022804,0,NA,5.057099819,851.175293,20.19739723,NA,36.2649498,1.620693684,4.280406475,1.88664341,85.1031189,55.41744232,NA,NA,20.97660065,5.840000153,NA,NA,5.180285454,NA,NA,NA,16.96999931,25.78179932,NA,7.78000021,NA,0.441000015,0.804048006,10.22346821,0.043136048,1.300652026,3,NA,NA,3,NA,NA
T16,7/22/2015 8:30,GM15053,7/22/2015,8:30:00 AM,61328,0.02970297,NA,2.026,NA,105372,USGS Watersheds Group,HON,105372-05,Water,61362,NA,7/22/2015,8:30:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,0.6,NA,NA,NA,-13.56132221,0.736000001,NA,8.920900345,577.8244019,16.18638992,NA,35.69417953,1.381925702,4.910531998,2.217120647,99.17196655,61.93762207,NA,NA,15.67520046,4.139999866,NA,NA,5.26363802,NA,NA,NA,17.89999962,36.58739853,NA,5.510000229,NA,0.298999995,1.14103847,6.940250092,0.04308202,0.971939237,3,NA,NA,3,NA,NA
T16,9/21/2015 11:10,GM15062,9/21/2015,11:10:00 AM,61366,0.05513308,NA,1.328,NA,105404,USGS Watersheds Group,HON,105404-02,Water,61637,NA,9/21/2015,11:10:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,12.1,NA,NA,NA,NA,6.923373699,0.056400001,NA,10.78369999,628.821167,15.98080635,NA,35.62108612,1.613445878,5.388085365,3.169591904,106.0365295,58.53214264,NA,NA,4.620500088,4.099999905,NA,NA,5.112242222,NA,NA,NA,18.15999985,39.53099823,NA,6.179999828,NA,0.314999998,1.232839489,7.552772343,0.041706539,0.286493646,3,NA,NA,3,NA,NA
T16,5/31/2016 12:30,GM16009,5/31/2016,12:30:00 PM,61638,0.012802528,NA,1.22,NA,105615,USGS Watersheds Group,HON,105615-02,Water,62366,NA,5/31/2016,12:30:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,NA,NA,NA,NA,-7.079999924,0.796000004,NA,8.696499825,450.4449158,12.69383812,NA,34.21147537,0.65389365,5.144073963,3.504065275,77.6996994,54.59734344,NA,NA,17.96430016,2.980000019,NA,NA,5.193121433,NA,NA,NA,17.70999908,40.00030136,NA,4.489999771,NA,0.210999995,1.247475483,5.41029482,0.038999722,1.113874635,3,NA,NA,3,NA,NA
T16,6/23/2016 7:45,GM16031,6/23/2016,7:45:00 AM,62417,0.193590056,NA,1.39,NA,105634,USGS Watersheds Group,HON,105634-02,Water,62439,NA,6/23/2016,7:45:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,10.9,0.62,NA,NA,NA,12.10999966,0.228,NA,7.467999935,460.2279663,13.13703823,NA,34.8106308,0.855349183,5.381317139,2.394590378,89.96907043,52.29330826,NA,NA,15.78759956,3.210000038,NA,NA,5.087693214,NA,NA,NA,18,39.83050156,NA,4.639999866,NA,0.219999999,1.242179996,5.52779906,0.039798842,0.978908532,3,NA,NA,3,NA,NA
T16,7/26/2016 10:45,gdm16054,7/26/2016,10:45,62470,0.207962386,NA,2.93,NA,105665,USGS Watersheds Group,HON,105665-02,Water,62589,NA,7/26/2016,10:45:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,15.2,0.64,NA,NA,NA,-68.61179352,0.375,NA,6.511400223,565.4436646,16.56508827,NA,33.88667679,1.346591473,4.330136299,1.851033688,94.06871033,47.35604858,NA,NA,10.1218996,4.460000038,NA,NA,5.188910007,NA,NA,NA,14.84000015,34.64170074,NA,6.070000172,NA,0.301999986,1.08035867,6.79154503,0.044467052,0.627607373,3,NA,NA,3,NA,NA
T16,8/24/2016 12:45,gdm16058,8/24/2016,12:45,62534,0.251480896,NA,2.81,NA,105659,USGS Watersheds Group,HON,105659-11,Water,62683,NA,8/24/2016,12:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,14.8,0.68,NA,NA,NA,3.34172821,1.309999943,NA,4.915500164,643.3833008,16.76981354,NA,29.28107452,1.569019079,3.820717573,1.336082458,81.23519135,41.82092285,NA,NA,5.404600143,4.679999828,NA,NA,5.14042902,NA,NA,NA,14.73999977,31.04470062,NA,6.409999847,NA,0.319000006,0.968180278,7.727678163,0.041280188,0.335111691,3,NA,NA,3,NA,NA
T16,9/19/2016 10:50,gdm16065,9/19/2016,10:50,62594,0.261874275,NA,3.3,NA,105732,USGS Watersheds Group,HON,105732-11,Water,62820,NA,9/19/2016,10:50:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Triplicate,14.2,0.73,NA,NA,NA,10.53003693,0.513000011,NA,7.827499866,831.0930176,19.56647491,NA,33.41695023,2.047408581,4.69884634,2.671380997,83.60475922,42.99873734,NA,NA,4.966599941,NA,NA,NA,5.142704964,NA,NA,NA,15.34000015,28.03440094,NA,NA,NA,0.407000005,0.874299109,9.982259961,0.040772331,0.307953533,3,NA,NA,3,NA,NA
T24,5/15/2012 15:15,GM12005,5/15/2012,3:15:00 PM,,NA,NA,NA,NA,104554,USGS Watersheds Group,HON,104554-05,Water,57961,NA,5/15/2012,3:15:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,10.2,1.21,NA,NA,NA,-26.46833038,1.442999959,NA,4.46449995,385.0608521,21.88630104,NA,10.55162048,0.864102602,3.375120163,3.672887802,60.02943039,16.31536674,NA,NA,25.55260086,3.943000078,NA,NA,4.505733013,NA,NA,NA,18.22999954,26.74679947,NA,12.31299973,NA,NA,0.83414313,4.624966695,NA,1.584386461,1,NA,NA,4,NA,NA
T24,7/9/2012 10:40,GM12006,7/9/2012,10:40:36 AM,,0,NA,1.15,NA,104592,USGS Watersheds Group,HON,104592-01,Water,58142,NA,7/9/2012,10:40:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,14.9,NA,NA,NA,NA,-7.532651424,0.984000027,NA,8.730899811,251.1038361,18.20280075,NA,16.92313004,0.625778198,4.187506199,1.880162358,78.34492493,26.01632118,NA,NA,26.73749924,2.678999901,NA,NA,4.412261963,NA,NA,NA,21.29999924,37.49750137,NA,10.75599957,NA,0.077,1.16942153,3.016008697,0.02553043,1.657855967,1,NA,NA,4,NA,NA
T24,9/25/2012 8:15,GM12007,9/25/2012,8:15:00 AM,,NA,NA,NA,NA,104645,USGS Watersheds Group,HON,104645-01,Water,58415,NA,9/25/2012,8:15:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,8.3,0.62,NA,NA,NA,-23.80330658,0.601000011,NA,8.399700165,352.6893616,20.22104836,NA,11.4114933,0.762371123,3.50363636,2.177181959,62.75711823,16.79544258,NA,NA,4.584400177,3.562000036,NA,NA,4.643562794,NA,NA,NA,17.87000084,37.15750122,NA,10.45800018,NA,0.144999996,1.158818064,4.236152655,0.034229172,0.284255275,1,NA,NA,4,NA,NA
T24,6/11/2013 13:45,GM13002,6/11/2013,1:45:00 PM,58940,0,NA,2.15,NA,104839,USGS Watersheds Group,HON,104839-02,Water,58940,NA,6/11/2013,1:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,10.6,NA,NA,NA,NA,-27.23189354,1.100000024,NA,5.714700222,500.8005676,27.29925156,NA,14.78501606,1.26646626,3.152630091,1.733083367,53.41505432,15.96769905,NA,NA,5.171800137,5.688000202,NA,NA,4.5,NA,NA,NA,18.67000008,24.4109993,NA,11.43200016,NA,0.226999998,0.761297343,6.015116658,0.037738254,0.32067695,1,NA,NA,4,NA,NA
T24,9/25/2013 9:00,GM13031,9/25/2013,9:00:00 AM,59272,0.006,NA,1.32,NA,104916,USGS Watersheds Group,HON,104916-09,Water,59278,NA,9/25/2013,9:00:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,8.4,NA,NA,NA,NA,-43.13727188,0.698000014,NA,6.488200188,363.7462769,17.1217804,NA,11.26288605,0.737086415,3.021284819,2.210008144,55.44108963,18.01356125,NA,NA,3.504100084,4.061999798,NA,NA,4.639712334,NA,NA,NA,17.69000053,32.20830154,NA,10.6239996,NA,0.150999993,1.004469095,4.368957288,0.034562021,0.217271375,1,NA,NA,4,NA,NA
T24,10/9/2013 10:05,GM13035,10/9/2013,10:05:00 AM,59220,0.008,NA,2.13,NA,104921,USGS Watersheds Group,HON,104921-02,Water,59294,NA,10/9/2013,10:05:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,9.9,0.9,NA,NA,NA,-15.61519337,0.931999981,NA,7.984799862,455.940094,19.37045097,NA,9.614143372,0.840588331,3.119449139,3.858785868,54.71746826,15.87888622,NA,NA,8.405099869,5.001999855,NA,NA,4.614280701,NA,NA,NA,18.43000031,28.14990044,NA,11.85299969,NA,0.184,0.877901152,5.476297416,0.033599344,0.521157377,2,NA,NA,5,NA,NA
T24,10/17/2013 12:30,GM13036,10/17/2013,12:30:00 PM,59221,0.012,NA,1.45,NA,104930,USGS Watersheds Group,HON,104930-01,Water,59315,NA,10/17/2013,12:30:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,11.2,0.77,NA,NA,NA,-29.05033875,0,NA,7.895199776,398.9069824,16.7833252,NA,10.37814617,0.573453963,3.053027153,4.676721096,57.36103439,18.06237984,NA,NA,3.908200026,4.340000153,NA,NA,4.647603512,NA,NA,NA,17.88999939,30.22660065,NA,9.595000267,NA,0.170000002,0.942666479,4.791272594,0.035481179,0.242327552,2,NA,NA,5,NA,NA
T24,10/22/2013 14:28,GM13039,10/22/2013,2:28:00 PM,59294,0.009,NA,1.56,NA,104930,USGS Watersheds Group,HON,104930-04,Water,59318,NA,10/22/2013,2:28:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,9.8,0.98,NA,NA,NA,-43.04673767,0.236000001,NA,7.742499828,413.2110596,19.12037849,NA,9.744093895,0.682478368,2.87069726,2.644607306,58.2649498,17.66861153,NA,NA,14.97599983,4.662000179,NA,NA,4.60934782,NA,NA,NA,19.06999969,27.71509933,NA,11.59799957,NA,0.167999998,0.864341161,4.963078895,0.033849955,0.928585372,2,NA,NA,5,NA,NA
T24,10/30/2013 12:40,GM13041,10/30/2013,12:40:00 PM,59315,0.034,NA,1.49,NA,104931,USGS Watersheds Group,HON,104931-08,Water,59361,NA,10/30/2013,12:40:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,NA,NA,NA,NA,NA,-29.26297951,1.695000052,NA,6.110599995,368.4588013,19.52875328,NA,9.957194328,0.612592041,2.919577837,2.365632534,60.30312347,19.06914139,NA,NA,16.01729965,4.265999794,NA,NA,4.637733936,NA,NA,NA,18.52000046,28.55089951,NA,12.44400024,NA,0.150000006,0.890406971,4.425559428,0.033894021,0.993151063,2,NA,NA,5,NA,NA
T24,11/18/2013 11:30,GM13042,11/18/2013,11:30:00 AM,59317,0.012,NA,1.86,NA,104944,USGS Watersheds Group,HON,104944-01,Water,59416,NA,11/18/2013,11:30:00,AM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,6.7,1.48,NA,NA,NA,-51.0246048,0,NA,5.808100224,473.6494751,26.45469666,NA,12.50077343,1.089843035,3.560572147,3.001825571,60.25635147,17.09943008,NA,NA,38.61090088,6.114999771,NA,NA,4.509048462,NA,NA,NA,21.10000038,24.4151001,NA,15.72000027,NA,0.207000002,0.761425233,5.68900483,0.036385978,2.394065048,2,NA,NA,5,NA,NA
T24,1/15/2014 15:45,GM14002,1/15/2014,3:45:00 PM,59361,0.014,NA,0.55,NA,104971,USGS Watersheds Group,HON,104971-09,Water,59638,NA,1/15/2014,3:45:00,PM,NA,NA,NA,Manual,NA,NA,NA,NA,NA,NA,Regular,1.1,1.06,NA,NA,NA,-37.66189194,0.524999976,NA,4.485300064,320.1513672,27.06354332,NA,11.22157764,0.688047647,3.493796825,1.988113999,49.19052124,16.70703125,NA,NA,56.95890045,4.46999979,NA,NA,4.535782337,NA,NA,NA,22.10000038,23.78050041,NA,17.10000038,NA,0.141000003,0.741634193,3.845338737,0.036667772,3.531730927,2,NA,NA,5,NA,NA
